均溫,低溫,最高溫,相對溼度,降雨量,風速,wpgt,大氣壓力,雲
17.6,15,20,86,7.3,8.5,,1017.3,8
17.4,16,20,91,7.8,19.9,,1017.2,8
16.9,14,20,75,0,33.3,,1017.3,3
17.6,13,25,76,0,9.8,,1017.5,0
17.1,16,19,95,0,13,,1018.7,4
16.8,13,21,76,0,24.8,,1017.8,0
16.2,11,23,70,0,12.7,,1018.6,1
16.9,14,22,77,0,14.8,,1019.1,2
16.1,13,20,75,0,27.9,,1020.8,4
13,11,16,71,0,38,,1025,3
13.6,12,17,74,0,27,,1025.7,3
14,10,19,55,0,26,,1024.4,0
14.6,7,23,62,0,7.3,,1022.4,0
16.5,11,23,80,1.7,7.1,,1022.2,2
14.3,12,16,86,2.5,28.6,,1022.7,6
12.5,11,16,73,0,27.3,,1022.8,0
14.1,9,20,68,0,22.8,,1021.1,0
15.3,9,21,85,1.8,11.8,,1018.3,6
15.8,13,19,92,1.1,15.7,,1015.5,4
16.1,11,22,70,0,14,,1014.4,0
17.5,11,24,74,0,8.5,,1015.9,0
17.9,16,23,89,0.3,8.8,,1017.3,4
17.5,15,22,90,1.1,17.7,,1016.3,4
18.3,15,23,90,0,19.8,,1014.3,3
18.4,16,23,87,0,20.9,,1015,1
16.2,13,20,86,0,24.6,,1017,4
11.7,9,15,77,0.7,35.1,,1019.4,5
12.6,9,18,58,0,26.6,,1022.5,2
13.7,9,21,67,0,13.1,,1023.1,1
15.5,9,23,77,0,8.6,,1020.1,0
16,13,18,98,6.6,7.6,,1016.7,6
19.8,16,26,90,12.8,15.1,,1013.2,6
16.5,15,20,96,0,22.3,,1013.5,4
13.6,11,16,94,0.4,30.9,,1017.5,7
13.3,10,18,68,0.2,31.7,,1019.7,3
14.9,9,22,65,0,9.6,,1018.4,2
17.1,15,22,78,0,7.8,,1017.7,6
14.8,12,19,84,0,32.4,,1019.4,5
11.1,10,13,69,0,35.5,,1021.9,3
12.3,10,16,72,0,27.3,,1022.2,2
15.2,9,22,77,0,10.6,,1021,1
16.7,12,23,85,0,9.7,,1019.1,2
17.4,16,20,100,34,10.2,,1018.2,8
15.7,14,18,96,26.3,21.9,,1017.8,8
16.8,15,21,93,0,11.4,,1017,4
18.2,15,27,92,0,9.2,,1014.7,2
18.6,14,25,89,0,16.1,,1016.3,3
18.4,15,25,69,0,18.1,,1018.7,0
17.1,14,21,81,0,22.2,,1020.5,1
16.9,13,23,87,0,8.9,,1020.7,1
17,14,20,96,0,12.5,,1021.2,5
15.8,14,19,92,0.8,26.3,,1022.1,3
17.4,14,23,84,0,17.9,,1022.2,2
15.5,14,17,93,8.2,30.1,,1024.5,6
14.5,12,18,78,0,28.3,,1026.2,2
15.6,12,22,82,0,8.6,,1025.1,2
16.7,14,21,95,0.6,15.2,,1022.8,8
17.8,16,22,89,0,9.3,,1019.6,6
20.6,15,26,77,0,7.8,,1018,0
22.5,16,30,73,0,7.9,,1016.1,2
24,19,31,78,0,7.3,,1013.8,4
25.5,22,31,87,0.8,13.4,,1011.7,8
22.1,17,28,92,32.9,13.5,,1011.8,8
17.7,16,20,100,32.5,20.3,,1013.6,7
14.6,13,17,95,7.6,33.5,,1017.9,6
15.2,13,19,84,1.4,22.9,,1018.7,8
15.7,13,21,86,0.1,23.2,,1019.8,3
17.4,14,23,84,0,15.8,,1021,0
17.8,16,23,91,0,8.3,,1020.5,1
20.3,15,28,85,0.1,7.5,,1017.6,4
24.8,19,31,73,0.1,7.4,,1015.1,5
22.2,20,25,97,12.6,8.8,,1015,8
20.9,18,27,94,0.1,12.5,,1015.4,5
20.1,15,26,97,,10.7,,,
14.6,13,18,75,,40,,,
13.2,12,15,68,,23.2,,,
13.1,9,16,71,,14.2,,,
15.2,8,23,72,,11.6,,,
16,,,67,,12.7,,,
17,10,24,61,,9.4,,,
17.5,10,24,66,0,6.6,,1019.9,0
18.8,13,25,64,0,5.3,,1017.3,0
21.1,15,28,72,0,11,,1013.3,0
23.1,18,29,79,0,12.3,,1010.1,0
24.4,19,31,82,0,18.8,,1008.4,1
26.6,23,33,76,0,20,,1008.2,3
21.6,17,25,80,0,22.7,,1012.1,3
16.1,15,19,80,0,27.4,,1016.7,4
14.3,13,16,95,15.9,26.4,,1018.7,8
14.9,13,17,100,12.3,23.6,,1016.8,8
15.5,14,18,88,3.7,28.7,,1016,4
16.7,14,22,72,0,18.4,,1016.9,4
20.2,14,27,72,0.3,8.4,,1016.8,2
21.5,16,27,72,0,7.3,,1016,1
19,18,20,95,4.5,11.2,,1015.4,8
20,17,25,84,0.1,13.3,,1014.5,6
23.9,20,29,79,0.3,8,,1016,3
23.5,20,29,80,0,7.9,,1016.3,7
23.6,20,28,74,0,8.6,,1013,6
23.5,21,28,87,11.5,10.5,,1009.8,6
24.3,19,29,81,8.3,7.5,,1010.4,4
25.5,20,28,78,43.7,19.8,,1009.3,7
17.3,16,20,63,17.8,23.8,,1012.9,8
21.2,16,27,69,0,11.2,,1011.5,2
21.5,15,28,58,0,13.1,,1012.6,3
21.7,14,28,67,0,8.7,,1012.8,2
23.8,18,29,73,0,8.6,,1010.8,5
25.4,23,29,79,6.6,11.7,,1010.7,7
26.3,23,30,80,0.8,13,,1010.9,2
24.8,23,29,88,5.1,10.3,,1012.2,2
26,22,31,82,0,9.7,,1012.8,2
26.9,23,32,75,0,21.1,,1010.6,2
25.1,21,29,85,6,13.3,,1010.1,3
25.2,22,29,90,1,8.7,,1010.5,3
22,19,25,90,4.3,14.5,,1012.6,3
20.6,18,23,92,14,8.4,,1015,2
23.3,19,28,88,0,7.5,,1013.5,2
22,20,24,92,8.5,9.8,,1011.8,3
22.8,17,28,64,0,12,,1012.3,2
23.8,19,28,80,0,8.4,,1013.4,2
24,21,27,76,0,8.4,,1013.2,2
24.6,20,29,78,0,6.7,,1011.9,2
26,23,29,78,0,7.8,,1011,2
25.7,22,30,84,3.4,10.8,,1010,2
27,24,31,83,0.8,12.9,,1008.7,2
27.5,24,32,81,9.8,9.6,,1008.7,2
23.5,22,26,96,20.1,9.4,,1009.8,3
26,23,30,86,0.4,7.2,,1009.9,2
28,25,34,80,21.7,14.8,,1009.5,2
25.2,23,27,93,22,8.2,,1009.5,3
20.7,19,25,93,40.3,14.7,,1009.2,3
23.1,19,27,85,0.4,6.4,,1010.1,2
24.9,21,30,78,0,8.5,,1013,2
25.3,20,31,72,0,8.6,,1014,2
26.2,21,31,74,0,7.8,,1013.7,2
27,23,32,76,0,5.5,,1012.6,2
27.7,24,32,81,5.2,9.8,,1012.1,2
28.5,25,33,80,2.5,11.6,,1011.5,2
28.1,24,33,79,0.2,11,,1010.3,2
29.6,26,36,70,0,11.8,,1010.7,2
28.9,26,32,78,1.1,12.9,,1010.5,3
29.1,25,35,75,0,11.2,,1008.6,2
29.5,26,33,72,0.2,17.3,,1007.2,2
25.9,22,30,86,12.3,14.9,,1009.6,3
21.1,20,23,83,37.9,18.5,,1012.7,2
20.3,19,22,86,2.1,15.1,,1014.3,3
24,18,30,85,0,8.9,,1013.7,2
24.8,22,29,88,14,8.6,,1011.1,3
22.1,21,24,99,67.3,8.8,,1010.5,4
24,20,30,80,0,13.7,,1010.4,2
26.1,21,31,80,0,7.8,,1009,2
27.8,23,33,81,0.5,10.3,,1005.1,2
28,26,32,89,2,18.4,,1003.9,3
26.2,23,28,94,34.1,11.9,,1004.6,3
25.1,23,29,92,29.2,8.9,,1007.7,3
26.7,24,30,91,17.8,7.1,,1009.6,3
27.3,25,31,92,17.1,6.1,,1009,3
28.8,26,32,84,2.7,11.5,,1008.3,2
28.9,26,32,84,1.9,11,,1007.2,2
29.1,26,33,82,0.1,6.8,,1006.5,2
28.7,24,33,83,0,9.8,,1005.8,2
28.6,26,32,88,0.1,10.7,,1006.6,2
28.5,26,32,87,7.3,9.9,,1006,2
25.8,25,26,94,30.1,19.7,,1008.6,3
29.1,26,33,77,4.6,18.3,,1010.2,2
30.3,26,34,70,0,23.1,,1008.1,2
28.2,26,30,84,6.7,19.3,,1009.8,3
28.2,26,31,84,3.4,10.4,,1012,2
28.5,25,33,79,4.4,6.3,,1012.4,2
28.2,25,32,77,0.5,9.9,,1012,2
28.5,24,33,77,0.3,9.1,,1011.5,2
28.5,25,33,81,1.8,10.9,,1011,2
29.2,26,33,79,0,13.3,,1009.9,2
29.5,26,33,76,0,15.5,,1007.9,2
29.8,26,34,76,0,10,,1008.8,2
29.7,26,33,78,5.1,6.2,,1010.7,2
29.5,25,33,75,4.6,8.3,,1011.1,2
27.1,23,33,79,17.6,8,,1010.2,2
27.7,22,32,77,0,10.4,,1008.6,2
28.1,24,33,81,1.6,8.8,,1007.1,2
28.6,24,33,84,0,7.4,,1008,2
29.8,26,34,82,0.1,8.5,,1009.8,2
29.9,26,33,82,0,8,,1009.1,2
30.4,28,34,78,3.4,11.3,,1007.5,2
28.8,24,34,86,16.9,11.8,,1006.3,2
27.2,24,32,87,1.3,11.2,,1006.2,2
27.7,25,30,89,20.4,3.9,,1001.5,3
27.9,24,32,87,40.9,21.1,,1001.1,3
27.3,25,30,86,9.5,24,,1002.6,3
24.7,22,28,93,20.2,18.1,,1001.2,4
24.8,24,26,90,27.4,4.6,,1000.8,2
25.7,24,29,94,16.9,4.6,,1004.2,2
27.9,24,32,89,6.4,11,,1007.9,2
29.3,27,33,82,0.5,13.6,,1007.6,2
27.2,25,30.8,80,5.6,14.2,,1005.5,8
26.4,23.6,31.4,86,16.5,15.3,,1004.5,8
27.9,25.3,31.6,80,1.7,13.8,,1005.4,5
27.8,24.9,31.4,83,6.7,8.1,,1004.7,8
27.8,24.9,30.4,85,2.9,8.1,,999.5,8
27.5,24.8,31.2,88,3.3,6.9,,993.2,8
26.7,25.3,29.6,89,10.4,8.4,,998.9,8
25.8,24.6,28.8,90,11.9,6.4,,1003.4,8
26.7,24.3,29.2,84,0.1,7.8,,1004.1,8
28.2,24.8,31.7,81,0.5,6.9,,1001.8,4
28.4,25,33.1,78,2.6,15.3,,999.2,4
26.9,24.6,29.9,85,2.7,14,,997.5,6
26.6,24.6,29.4,87,28.3,16.4,,999.5,8
27.3,24.9,31.3,80,7.6,18.4,,1000.2,8
25.4,23.6,28.6,91,116.4,11.1,,997.2,8
25.5,22.9,29.5,89,22.6,12.2,,996.4,7
24.9,23.3,27.4,91,66.6,18.1,,997.7,8
25.7,23.3,29.7,89,50.5,18.1,,1000.1,8
26.5,24.2,30.9,85,11.6,14.8,,1002.2,7
25.9,23.2,28.7,88,47.7,17.2,,1005.5,8
25.6,23.7,28.2,87,22.9,18.3,,1006.8,8
25.1,23.9,27.7,88,19.6,16.5,,1007.5,8
25.8,23.7,28.4,88,20,15.1,,1009,8
26.9,24,31.2,84,4.2,13,,1010.2,5
26.7,23.1,30.8,82,0,8.2,,1010.3,2
27,23.6,30.6,79,0,8.3,,1009.4,6
27.1,24.4,31.3,83,2.3,9.8,,1009.8,7
26.7,24.9,30.1,86,9.1,12.3,,1009.3,7
26.7,24.4,30.2,85,6.5,13.1,,1008.4,6
27,24.2,30.7,85,4.1,6.8,,1008.1,6
27.6,24.7,33.5,78,1,15.7,,1001.2,8
27.7,24,31.9,75,0.9,13.3,,1009.4,3
28.1,24.4,33.1,76,0,7.1,,1008.9,3
28.4,24.8,32.6,75,0,9.3,,1008.4,2
27.6,24.5,32.6,77,11.3,8.7,,1010.6,4
28.2,24,33.2,74,0.5,8.1,,1012.7,4
27.7,24.2,33.3,75,2.3,7.1,,1012.4,4
27.5,24.7,30.9,71,1.1,8.5,,1011.5,4
27.2,22.4,31.6,71,0,8.2,,1011.7,2
28.3,24.1,33.6,69,0,7.3,,1010.7,2
29.3,25.4,34,68,0,7.2,,1009.3,3
27.9,24,33.7,74,8.1,8.4,,1011.2,4
27.6,24.1,34.9,76,3,7.9,,1011,4
27.4,23.9,32.2,74,1.9,8.5,,1010.2,3
27.9,23.6,33.6,71,2.4,7.9,,1008.8,4
28.4,24.7,33.6,71,0.8,10,,1008.2,4
28.6,25.2,32.9,72,2.7,7.8,,1009.5,2
29.3,26,35,81,2.3,11.3,,1011.8,2
28.8,25,33,81,0.5,6.9,,1010.2,5
28.5,25.7,32.1,75,3.3,5.9,,1007.9,8
27.4,26,32,82,5.4,6.8,,1008.1,4
28.3,24,33,84,7.7,7.6,,1009.4,3
28.7,25,34,81,2.9,8.3,,1009.3,1
28.8,25,34,81,0.9,8.7,,1009.3,3
29.4,25,34,81,0,8.9,,1009.1,6
28.7,25,35,85,12,10.7,,1011.1,7
29,24,34,82,3.3,9.8,,1012.7,6
29,26,33,80,7.9,10.9,,1013.5,6
28.8,25,34,82,0.6,8.9,,1012.8,2
27.3,24,33,78,2.7,6.6,,1011.9,7
27.7,24.3,31.6,77,2.1,5.5,,1011.9,2
27.7,24.8,31.7,75,1,6.4,,1012.2,2
27.3,24.8,31.5,78,2.8,6,,1012.8,4
28.2,24.4,32.8,76,0.1,9.5,,1012.5,3
28.6,24.5,33.9,70,0,6.9,,1011.3,6
28.2,25.4,33.6,72,2.9,7,,1010.3,7
27.5,24.6,32.5,77,4.7,5.9,,1010.1,8
26.6,25,31.2,88,17.6,5.9,,1010.6,8
26.5,23.5,30.1,84,2,7.9,,1009.6,6
27.4,22.5,32,77,0,8.1,,1007.4,3
28.3,23.9,33.7,71,0,12.4,,1001.9,7
25.8,24.7,27.6,89,6.9,7.2,,1001,8
27,24.5,31.2,83,2.8,8.1,,1006,8
27.6,22.4,32.4,82,0.4,5.7,,1010.5,3
27,24.9,31.3,86,1,6.6,,1012.8,5
27.4,22.3,33,74,0,7.6,,1013.2,2
28,24.2,32.9,76,0,8.5,,1013.3,2
27.8,23.7,32.2,75,0.5,6.9,,1013.3,2
28.2,24.9,32.5,76,0.1,6.5,,1012.7,3
28.4,24.4,33.7,71,0,7.9,,1012.8,4
29,24.9,34.8,65,0,8.5,,1013.3,2
28.5,23.9,34.5,66,0,8.3,,1012.5,0
29.2,25.2,34.1,64,0,6.9,,1012.9,2
28.9,24.9,34.1,68,1,6.9,,1013.9,1
28.8,24.9,33.8,72,0.3,8.2,,1013.2,2
29.1,24,34.2,66,0,9.8,,1012.4,1
29.7,26.1,34.3,66,0.2,8.8,,1011.8,2
29,25.5,35.6,66,0,13.5,,1011.2,1
